text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
RT @alni92: La COP21 énerve Sarkozy — via @libe A lire https://t.co/ctOYyJ9e1S,0,4,Tue Dec 01 17:15:51 +0000 2015,fr,blabalade,Laure #JeSuisCharlie,Paris,4825,507404,671739498594746368
RT @UN_News_Centre: #COP21: @UN spotlights importance of protecting forests &amp; agriculture to improve livelihoods https://t.co/wbUeLW8kqH ht…,0,8,Tue Dec 01 17:15:51 +0000 2015,en,charloohomie,Charlotte Prud'Homme,Atlantic Time (Canada),119,232,671739499446169600
RT @EarthVitalSigns: INFOGRAPHIC: Global CO2 levels have been knocked off balance https://t.co/JIrPS3PCe5 #climatechange #COP21 https://t.c…,0,10,Tue Dec 01 17:15:51 +0000 2015,en,joystickrade,hunab_ku,"",767,13356,671739499680960512
Well done Yudi! Sharing child centred CCA at #COP21  https://t.co/qkNjqaWUgm,0,0,Tue Dec 01 17:15:51 +0000 2015,en,WVUK_Mags,Maggie Ibrahim,"",110,113,671739500712714240
RT @WWFFrance: #COP21 300GW. Objectif 2030 de l'initiative renouvelables en Afrique : multiplie par 2 capacité déjà installée https://t.co/…,0,5,Tue Dec 01 17:15:52 +0000 2015,fr,meldcc,MELD,Eastern Time (US & Canada),1586,45524,671739501811773441
RT @VogueParis: En pleine #COP21 zoom sur ces créatrices green qui créent des bagues de fiançailles éthiques https://t.co/smOz3ohhAU https:…,0,11,Tue Dec 01 17:15:52 +0000 2015,fr,andrealachouque,andréa@no,Pacific Time (US & Canada),92,3901,671739502294114305
"RT @NRDC: We agree, @MargaretAtwood — it's time to #DemandClimateAction from world leaders: https://t.co/U9DBUn3Ypn #COP21 https://t.co/gRG…",0,13,Tue Dec 01 17:15:52 +0000 2015,en,Chewonki,Chewonki,Eastern Time (US & Canada),760,1821,671739504462532609
RT @UNICEF: #climatechange disproportionately affects the poorest and most vulnerable children. #COP21 https://t.co/KYQ1mO2Qby,0,73,Tue Dec 01 17:15:52 +0000 2015,en,DeepaRayamajhi,ZaynBae❤️,"",149,4248,671739504672161792
"On Paris, ""big defining moments"" + what comes next: @SustainCoLab Board Chair @HoffmannMatt on #COP21: https://t.co/TqGAnEnyvL @globeandmail",0,1,Tue Dec 01 17:15:53 +0000 2015,en,CoLabMike,Mike Morrice,Eastern Time (US & Canada),550,395,671739505645371392
"RT @NLintheUSA: ICYMI: Statement by Prime Minister Mark Rutte at the UN #climatechange Conference #COP21
https://t.co/XRPTEKTVkY https://t.…",0,1,Tue Dec 01 17:15:53 +0000 2015,en,Put_Ron,Ron van de Put,"",47,332,671739505829945344
Getting ready for the #FossiloftheDay #COP21 https://t.co/Dbr2Xm42TK,1,5,Tue Dec 01 17:15:53 +0000 2015,en,EnReps,Environment Reporter,Ljubljana,174,222,671739506199027712
Obama Pledges Support to Island Nations at COP21 https://t.co/4maEoaWokO #TEAMFOLLOWBACK,0,0,Tue Dec 01 17:15:53 +0000 2015,en,NewsOnPlanet,News On Planet,"",1997,691189,671739507511693312
