text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
"Hello, Twitter! It's Barack. Really! Six years in, they're finally giving me my own account.",416687,284180,Mon May 18 15:38:52 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,600324682190053376
"In Camden today, seeing first-hand how smart policing is making the community safer while building trust. http://t.co/3MiWk43c8g",29619,9612,Mon May 18 19:51:30 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,600388258665787392
"Good question, @billclinton. The handle comes with the house. Know anyone interested in @FLOTUS?",105765,59695,Mon May 18 21:07:29 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,600407380279566336
An honor to address the Coast Guard class of 2015. Confident they'll help us meet big challenges like climate change. http://t.co/1z4fteA1YJ,19539,5038,Wed May 20 17:51:35 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,601082858497830913
".@rebsteve really enjoyed stopping by today. I had fun singing Shabbat Shalom with the PreK class downstairs, too! http://t.co/6b8CrXSgMt",7333,2830,Fri May 22 20:06:44 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,601841646020464640
.@DrFahmida tell your niece I really like her letter. Couldn't agree more!,15902,4940,Fri May 22 20:19:17 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,601844801672257536
Spent the morning at Arlington. Take time today to honor our fallen heroes. We're forever indebted to their families. http://t.co/hChhhOVCS3,23375,9174,Mon May 25 16:45:21 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,602878130362146816
Just got a hurricane preparedness briefing in Miami. Acting on climate change is critical. Got climate Qs? I'll answer at 1pm ET. #AskPOTUS,4567,1963,Thu May 28 16:21:21 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603959253334822913
Ready to answer your questions on climate change. Let's do this! #AskPOTUS http://t.co/5KrIb5jL6S,7212,3263,Thu May 28 16:48:24 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603966058462973953
.@calebmegajew the science is overwhelming but what will move Congress will be public opinion. Your voices will make them open to facts.,3295,1279,Thu May 28 16:56:22 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603968065240313859
"@BigBennyFL 1/ We've shut off drilling in the most sensitive arctic areas, including Bristol Bay.",705,263,Thu May 28 16:59:36 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603968878058676225
.@BigBennyFL 2/ But since we can't prevent oil exploration completely in region we're setting the highest possible standards,1383,447,Thu May 28 17:02:56 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603969716261036032
.@BigBennyFL 3/ already rejected Shell's original proposal as inadequate which shows we're serious.,1552,449,Thu May 28 17:04:00 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603969986730708992
.@drock89 as @Pontifex and other religious leaders have stated we have a moral obligation to the most vulnerable and the next generation.,2076,877,Thu May 28 17:05:44 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603970422636290048
.@gkermmm 1/ TPP is still being negotiated! But legislation requires the full text for 60 days before I sign.,1184,431,Thu May 28 17:08:04 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603971008328957953
"@.gkermmm 2/ after I sign agreement, Congress will have months of debate before a vote. Nothing secret about it.",1501,502,Thu May 28 17:08:53 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603971215372361728
.@NathenVieira jr smith having a great season but the heart of the Cavs is Lebron. And no one can outshoot Curry - maybe Korver if wide open,7487,6388,Thu May 28 17:11:48 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603971948180176896
".@ZCarlander more severe weather events lead to displacement, scarcity, stressed populations; all increase likelihood of global conflict.",2318,954,Thu May 28 17:15:41 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603972926287708160
"@HLF3267 In fact new trade deal with have the strongest enforceable environmental provisions in history, raising standards across Asia.",643,255,Thu May 28 17:16:29 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603973127383580672
. @Jamesthe4tress Already expanded Pell Grants and capped student loan interest rates; now want to make 2 yrs of community college free.,4902,1975,Thu May 28 17:18:40 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603973676975939585
".@HtetWint renewable energy key, already increased solar 10x and wind 3x, now need to invest more in r&amp;d and provide regulatory incentives",2289,897,Thu May 28 17:22:28 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603974634510233600
".@arianastover Kids instinctively understand importance of environment, impact on animals, health. Weave it into science and social studies",3543,1283,Thu May 28 17:24:59 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603975267422380033
.@ZCarlander agreement with China big and will be working w Brazil to develop their plans. We will all need to do more with US leading,1685,544,Thu May 28 17:27:20 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603975856466198528
.@apat246 @chicagobulls love thibs and think he did a great job. Sorry to see him go but expect he will be snatched up soon by another team.,4238,3007,Thu May 28 17:29:05 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603976299246321664
"Thanks for the questions! This was fun. I've got to run, but let’s do it again soon. Tell me what you're doing to #ActOnClimate.",6842,1537,Thu May 28 17:29:26 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,603976385044971520
"RT @LizHadly: @POTUS Love the #ActOnClimate. As scientist, I say global action more important than science now. #WeKnowEnoughToAct.",0,829,Thu May 28 20:40:34 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,604024486036393984
"RT @JustineinTampa: @POTUS I'm 30 now, but I've been promoting climate change since I was in the third grade! #ActOnClimate http://t.co/d77…",0,1327,Thu May 28 20:42:00 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,604024846574620674
Awarded two Medals of Honor today for acts of bravery a century ago. We honor our heroes no matter how long it takes. http://t.co/AYazTecZpB,10174,2862,Tue Jun 02 18:28:56 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,605803300093452289
Glad the Senate finally passed the USA Freedom Act. It protects civil liberties and our national security. I'll sign it as soon as I get it.,11332,3830,Tue Jun 02 21:01:19 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,605841647193030657
