text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
"#BlackFriday, #CyberMonday. It's definitely time for #GivingTuesday.
Support your favorite local charity! https://t.co/KEcYwxfsQb",0,0,Tue Dec 01 17:47:02 +0000 2015,en,MommaGsDothan,Momma G's Dothan,"",216,394,671747345650876416
"#BlackFriday, #CyberMonday. It's definitely time for #GivingTuesday.
Support your favorite local charity! https://t.co/676uhN1MJ2",0,0,Tue Dec 01 17:47:02 +0000 2015,en,MommaGsPanamaCi,MommaGsPanamaCity,"",49,320,671747345927671808
"#BlackFriday, #CyberMonday. It's definitely time for #GivingTuesday.
Support your favorite local charity! https://t.co/mUhWiGsY0D",0,0,Tue Dec 01 17:47:02 +0000 2015,en,MommaGsBhamDT,MommaGsBhamDowntown ,"",19,93,671747346133213184
"#BlackFriday, #CyberMonday. It's definitely time for #GivingTuesday.
Support your favorite local charity! https://t.co/ctI3jTpdVi",1,0,Tue Dec 01 17:47:02 +0000 2015,en,mommagoldbergs,Momma Goldberg's,Central Time (US & Canada),2742,1626,671747346150002688
¡Gracias al #BlackFriday hablamos un 90% más en Twitter! El #iloveverde terminó ya... :( https://t.co/kFRl4Lhbe5 https://t.co/uWMp5ZA3oi,2,1,Tue Dec 01 17:47:02 +0000 2015,es,PC_Box,PCBox,Madrid,13687,2934,671747347651559424
#JCole #BlackFriday on repeat,0,0,Tue Dec 01 17:47:03 +0000 2015,en,RAHstaGOTemALL,MUNIE MAKIN RAHsta♐,Eastern Time (US & Canada),767,66774,671747351262928896
#BlackFriday has distorted the timing of #Christmas sales. #Shoppers wait for #discounts: https://t.co/bNUUoff07C https://t.co/zI52T4tRoC,0,1,Tue Dec 01 17:47:06 +0000 2015,en,RetailEconomics,Retail Economics,"",3269,9629,671747364164472832
RT @gustyea66: La OCU demuestra el fraude casi general del #BlackFriday en España https://t.co/L7EnAhn75T https://t.co/Hfy4o2uP5o,0,18,Tue Dec 01 17:47:07 +0000 2015,es,PatGarret4,Pat Garrett,Eastern Time (US & Canada),2343,32486,671747365976596483
RT @bhcosmetics: Our Waterproof Lip Liners are a steal during #BlackFriday -- only $3 each! (https://t.co/IixvRsgth0) https://t.co/p7RI5ghC…,0,8,Tue Dec 01 17:47:08 +0000 2015,en,lilrho247,Olivia❤️,Eastern Time (US & Canada),652,9652,671747370913280000
"RT @ibmmobile: This #BlackFriday mobile traffic exceeded desktop, accounting for 57.2% of all online traffic, an increase of 15.2% over 201…",0,5,Tue Dec 01 17:47:09 +0000 2015,en,JavyBarabas,Javier Barabas,Buenos Aires,364,5090,671747374054662144
"RT ibmmobile This #BlackFriday mobile traffic exceeded desktop, accounting for 57.2% of all online traffic, an increase of 15.2% over 2014.",0,0,Tue Dec 01 17:47:11 +0000 2015,en,mrjosewilson,Jose Wilson,"",726,214451,671747386222510085
#Noticias #XboxOne tuvo buenas ventas durante el #BlackFriday #RT @GamerRTer @ShoutRTs @Retweet_Lobby https://t.co/njWY08g3nY,0,2,Tue Dec 01 17:47:12 +0000 2015,es,Siul_Euquirne,Siul Euquirne,Mountain Time (US & Canada),627,6690,671747389544206336
