text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
Eternal Social Media Quandary: Should I tweet what I want to tweet or what you want me to tweet or what I wish I tweeted? #deliciousdilemmas,0,0,Sat Nov 01 22:59:39 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,528682812719632384
"If you fail an ethics test, that is doubly bad. Coz there is no way you didn't attempt to cheat on it! #LastWeekTonight #foodforthought",0,0,Mon Nov 03 11:28:53 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,529233750396121090
What I know seems common sense; What I don't seems daunting &amp; What I am trying to know seems unnecessarily complicated #TheoryOfKnowledge,0,0,Mon Nov 03 14:09:31 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,529274176985526274
"@nytdavidbrooks Great Read. Similarly, focus groups force screenwriters to modify their content to please every segment of the audience.",0,0,Tue Nov 04 13:03:38 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,529619984100495360
The New York Times and Springer are wrong about Blendle http://t.co/cb4rLpXGoP #nytimes #iTunes,0,0,Wed Nov 05 07:04:26 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,529891974984122368
Lot to chew on here. @peterthiel argues that companies should compete on ideas and not price. http://t.co/mpMrnSac0B #bigthink #perspective,0,0,Thu Nov 06 09:22:49 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,530289187312779264
"In the words of @gilliantett, we are moving from a vertical to a horizontal trust network. http://t.co/z2NsaA61sS http://t.co/4leJX1Yykx",2,0,Thu Nov 06 13:43:39 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,530354828019376128
Representative #DemocracyFail Trifecta: @repmichaelgrimm gets re-elected; 33% mid-term voter turnout &amp; 2016 likely to be a Bush-Clinton race,0,0,Fri Nov 07 04:10:54 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,530573077944741888
@dickc is the subject of this week's @TheEconomist quiz at http://t.co/jLqZ3vsmgc #economistquiz #twitteranniversary http://t.co/KC2XBe7fPK,0,0,Fri Nov 07 12:41:58 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,530701693806063616
Started wondering why we sound so much like our parents. Genetics or Mimicry? @mental_floss answers - http://t.co/WweUqj8o7K #NatureNurture,0,0,Sat Nov 08 17:45:52 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,531140562418544640
"""...longest growth period in the history of mankind"" - @LHSummers illustrated in one chart. #tableau #APEC2014 http://t.co/R6MD2ZXLy3",1,0,Mon Nov 10 18:36:21 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,531878041534738433
Art Collection #1: 'Vitruvian Man' (1490) by Leonardo da Vinci. Pretty much sums up the essence of human civilization http://t.co/JPgmnusmLr,1,0,Tue Nov 11 05:09:48 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,532037455705165824
@tfadell Interesting Epigenome:Genome - Software:Hardware analogy on @charlierose http://t.co/laiLSenclZ,1,0,Wed Nov 12 13:15:42 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,532522123823030272
@MarkLandler I am flummoxed: US-China joint press conference video posted by the @WhiteHouse is missing Xi's reply. https://t.co/MKdllCbQmh,0,0,Thu Nov 13 12:53:03 +0000 2014,en,EpicureanConslt,Epicurean Consultant,Urumqi,52,267,532878811650461696
